Latitude,Longitude,Elevation
4.645666000,-74.0612110,2610.0
4.645593000,-74.0612440,2611.0
4.645545000,-74.0612660,2610.0
4.645498000,-74.0612670,2611.0
4.645450000,-74.0612750,2611.0
4.645462000,-74.0613270,2611.0
4.645475000,-74.0613730,2611.0
4.645487000,-74.0613240,2611.0
4.645462000,-74.0613690,2611.0
4.645347000,-74.0613150,2611.0
4.645247000,-74.0613390,2611.0
4.645101000,-74.0614200,2611.0
4.644967000,-74.0615400,2611.0
4.644778000,-74.0615530,2611.0
4.644552000,-74.0616260,2611.0
4.644351000,-74.0616400,2611.0
4.644129000,-74.0617130,2611.0
4.643887000,-74.0617670,2611.0
4.643634000,-74.0618540,2610.0
4.643390000,-74.0619130,2610.0
4.643106000,-74.0619980,2610.0
4.642850000,-74.0620300,2610.0
4.642750000,-74.0620050,2610.0
4.642701000,-74.0620350,2609.0
4.642631000,-74.0620730,2609.0
4.642522000,-74.0620860,2609.0
4.642407000,-74.0621570,2609.0
4.642274000,-74.0622310,2609.0
4.642059000,-74.0622840,2609.0
4.641861000,-74.0623680,2609.0
4.641587000,-74.0624200,2609.0
4.641339000,-74.0624950,2609.0
4.641125000,-74.0625380,2609.0
4.640973000,-74.0626210,2609.0
4.640849000,-74.0626150,2609.0
4.640824000,-74.0626790,2609.0
4.640767000,-74.0626500,2609.0
4.640702000,-74.0626800,2609.0
4.640604000,-74.0626860,2609.0
4.640480000,-74.0627130,2609.0
4.640289000,-74.0627360,2609.0
4.640096000,-74.0627690,2608.0
4.639836000,-74.0628250,2608.0
4.639630000,-74.0629710,2608.0
4.639387000,-74.0630770,2608.0
4.639157000,-74.0631450,2608.0
4.638928000,-74.0632050,2608.0
4.638685000,-74.0632500,2608.0
4.638410000,-74.0633150,2609.0
4.638140000,-74.0633530,2610.0
4.637885000,-74.0634130,2609.0
4.637588000,-74.0634680,2609.0
4.637271000,-74.0635150,2608.0
4.636969000,-74.0635590,2609.0
4.636636000,-74.0636520,2610.0
4.636328000,-74.0637520,2611.0
4.636016000,-74.0637950,2611.0
4.635708000,-74.0638180,2611.0
4.635359000,-74.0638300,2611.0
4.635011000,-74.0638540,2611.0
4.634676000,-74.0638650,2612.0
4.634354000,-74.0638800,2612.0
4.634032000,-74.0639040,2612.0
4.633657000,-74.0638820,2612.0
4.633284000,-74.0638750,2611.0
4.632964000,-74.0638680,2612.0
4.632639000,-74.0638910,2612.0
4.632354000,-74.0639810,2613.0
4.632093000,-74.0640500,2614.0
4.631887000,-74.0640960,2613.0
4.631755000,-74.0641520,2613.0
4.631679000,-74.0641790,2613.0
4.631633000,-74.0641910,2614.0
4.631559000,-74.0642440,2618.0
4.631401000,-74.0643120,2617.0
4.631146000,-74.0643840,2620.0
4.630887000,-74.0644970,2625.0
4.630683000,-74.0645600,2624.0
4.630457000,-74.0646270,2623.0
4.630197000,-74.0647090,2623.0
4.629925000,-74.0648030,2623.0
4.629647000,-74.0648830,2623.0
4.629400000,-74.0649670,2623.0
4.629186000,-74.0650260,2623.0
4.629063000,-74.0650380,2622.0
4.628996000,-74.0650610,2622.0
4.628926000,-74.0650830,2621.0
4.628830000,-74.0651200,2621.0
4.628678000,-74.0651630,2620.0
4.628484000,-74.0652060,2619.0
4.628258000,-74.0652530,2618.0
4.628098000,-74.0652880,2618.0
4.627932000,-74.0653370,2617.0
4.627741000,-74.0654010,2617.0
4.627520000,-74.0654290,2617.0
4.627304000,-74.0655240,2617.0
4.627041000,-74.0655330,2616.0
4.626784000,-74.0655700,2615.0
4.626562000,-74.0656330,2614.0
4.626346000,-74.0657050,2614.0
4.626109000,-74.0657500,2614.0
4.625883000,-74.0658290,2614.0
4.625652000,-74.0659100,2614.0
4.625398000,-74.0659850,2613.0
4.625178000,-74.0660410,2612.0
4.625062000,-74.0661040,2611.0
4.625012000,-74.0661550,2610.0
4.624918000,-74.0661510,2610.0
4.624788000,-74.0661710,2610.0
4.624651000,-74.0661870,2610.0
4.624488000,-74.0662540,2612.0
4.624280000,-74.0662960,2612.0
4.624048000,-74.0663100,2613.0
4.623823000,-74.0663790,2614.0
4.623591000,-74.0664440,2613.0
4.623355000,-74.0664970,2614.0
4.623101000,-74.0665700,2614.0
4.622843000,-74.0666280,2615.0
4.622571000,-74.0667130,2615.0
4.622302000,-74.0668280,2616.0
4.622112000,-74.0669000,2613.0
4.621922000,-74.0669710,2615.0
4.621726000,-74.0670720,2614.0
4.621653000,-74.0671020,2614.0
4.621597000,-74.0671340,2614.0
4.621316000,-74.0671650,2615.0
4.621088000,-74.0673010,2615.0
